dna_well,dna_volume,cells_well,cells_volume,soc_well,soc_volume,transformation_well
A1,3,A2,30,A1,150,A1
B1,3,B2,30,B1,150,B1
C1,3,C2,30,C1,150,C1
D1,3,D2,30,D1,150,D1
E1,3,E2,30,E1,150,E1
F1,3,F2,30,F1,150,F1
G1,3,G2,30,G1,150,G1
H1,3,H2,30,H1,150,H1
A1,2,A2,20,A1,100,A2
B1,2,B2,20,B1,100,B2
C1,2,C2,20,C1,100,C2
D1,2,D2,20,D1,100,D2
E1,2,E2,20,E1,100,E2
F1,2,F2,20,F1,100,F2
G1,2,G2,20,G1,100,G2
H1,2,H2,20,H1,100,H2
A1,1,A2,10,A1,50,A3
B1,1,B2,10,B1,50,B3
C1,1,C2,10,C1,50,C3
D1,1,D2,10,D1,50,D3
E1,1,E2,10,E1,50,E3
F1,1,F2,10,F1,50,F3
G1,1,G2,10,G1,50,G3
H1,1,H2,10,H1,50,H3
A1,0,A2,30,A1,150,A4
B1,0,B2,30,B1,150,B4
C1,0,C2,30,C1,150,C4
D1,0,D2,30,D1,150,D4
E1,0,E2,30,E1,150,E4
F1,0,F2,30,F1,150,F4
G1,0,G2,30,G1,150,G4
H1,0,H2,30,H1,150,H4