ID,agar_plate_location,source_well,destination_well,media_volume,agar_plate_weight
water-BL21,1,A1,A1,1500,76.32
pUC19-BL21,1,B1,B1,1500,76.32
pJKR-BL21,1,C1,C1,1500,76.32
pJKR-BL21,1,D1,D1,1500,76.32
pJKR-BL21,1,E1,E1,1500,76.32
pJKR-BL21,1,F1,F1,1500,76.32
pJKR-BL21,1,G1,G1,1500,76.32
pJKR-BL21,1,H1,H1,1500,76.32
water-BL21,1,A2,A2,1500,76.32
pUC19-BL21,1,B2,B2,1500,76.32
pJKR-BL21,1,C2,C2,1500,76.32
pJKR-BL21,1,D2,D2,1500,76.32
pJKR-BL21,1,E2,E2,1500,76.32
pJKR-BL21,1,F2,F2,1500,76.32
pJKR-BL21,1,G2,G2,1500,76.32
pJKR-BL21,1,H2,H2,1500,76.32
water-BL21,1,A3,A3,1500,76.32
pUC19-BL21,1,B3,B3,1500,76.32
pJKR-BL21,1,C3,C3,1500,76.32
pJKR-BL21,1,D3,D3,1500,76.32
pJKR-BL21,1,E3,E3,1500,76.32
pJKR-BL21,1,F3,F3,1500,76.32
pJKR-BL21,1,G3,G3,1500,76.32
pJKR-BL21,1,H3,H3,1500,76.32