source_ID,destination_ID,source_well,destination_well,volume
water-BL21(DE3),fresh-LB,A1,A4,15
pUC19-BL21(DE3),fresh-LB,B1,B4,15
pJKR-BL21(DE3),fresh-LB,C1,C4,15
pJKR-BL21(DE3),fresh-LB,D1,D4,15
pJKR-BL21(DE3),fresh-LB,E1,E4,15
pJKR-BL21(DE3),fresh-LB,F1,F4,15
pJKR-BL21(DE3),fresh-LB,G1,G4,15
pJKR-BL21(DE3),fresh-LB,H1,H4,15
water-BL21(DE3),fresh-LB,A2,A5,15
pUC19-BL21(DE3),fresh-LB,B2,B5,15
pJKR-BL21(DE3),fresh-LB,C2,C5,15
pJKR-BL21(DE3),fresh-LB,D2,D5,15
pJKR-BL21(DE3),fresh-LB,E2,E5,15
pJKR-BL21(DE3),fresh-LB,F2,F5,15
pJKR-BL21(DE3),fresh-LB,G2,G5,15
pJKR-BL21(DE3),fresh-LB,H2,H5,15
water-BL21(DE3),fresh-LB,A3,A6,15
pUC19-BL21(DE3),fresh-LB,B3,B6,15
pJKR-BL21(DE3),fresh-LB,C3,C6,15
pJKR-BL21(DE3),fresh-LB,D3,D6,15
pJKR-BL21(DE3),fresh-LB,E3,E6,15
pJKR-BL21(DE3),fresh-LB,F3,F6,15
pJKR-BL21(DE3),fresh-LB,G3,G6,15
pJKR-BL21(DE3),fresh-LB,H3,H6,15